date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:12:25	112972/112972	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202024%2020:12:20%20GMT	https://startours.co.uk/tour/05-Days-Three-Capitals-with-Disney	D:/demo/startours.co.uk/tour/05-Days-Three-Capitals-with-Disney.html	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:25	111398/111398	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202024%2020:12:21%20GMT	https://startours.co.uk/tour/05-Days-Three-Capitals	D:/demo/startours.co.uk/tour/05-Days-Three-Capitals.html	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:25	427186/427186	---M--	200	added ('OK')	image/jpeg	etag:%22171dbd70e1da1:0%22	https://startours.co.uk/Content/Images/Slides/dreamstime_xl_76744078_345x410.jpg	D:/demo/startours.co.uk/Content/Images/Slides/dreamstime_xl_76744078_345x410.jpg	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:26	333495/333495	---M--	200	added ('OK')	image/jpeg	etag:%2220d59c9ec1da1:0%22	https://startours.co.uk/Content/Images/Destinations/dreamstime_xxl_27769681_345x410_1.jpg	D:/demo/startours.co.uk/Content/Images/Destinations/dreamstime_xxl_27769681_345x410_1.jpg	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:27	352858/352858	---M--	200	added ('OK')	image/jpeg	etag:%221e4e7784cf1bda1:0%22	https://startours.co.uk/Content/Images/Destinations/dreamstime_xl_40362552_345x410_2.jpg	D:/demo/startours.co.uk/Content/Images/Destinations/dreamstime_xl_40362552_345x410_2.jpg	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:27	123080/123080	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202024%2020:12:22%20GMT	https://startours.co.uk/tour/best-of-europe	D:/demo/startours.co.uk/tour/best-of-europe.html	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:27	343443/343443	---M--	200	added ('OK')	image/jpeg	etag:%2253f82ad2a1da1:0%22	https://startours.co.uk/Content/Images/Destinations/dreamstime_xl_72534487_345x410.jpg	D:/demo/startours.co.uk/Content/Images/Destinations/dreamstime_xl_72534487_345x410.jpg	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:28	126418/126418	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202024%2020:12:23%20GMT	https://startours.co.uk/tour/07-Days-European-Highlights-with-Disney	D:/demo/startours.co.uk/tour/07-Days-European-Highlights-with-Disney.html	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:28	319203/319203	---M--	200	added ('OK')	image/jpeg	etag:%227b913d8091da1:0%22	https://startours.co.uk/Content/Images/Slides/dreamstime_xl_35189989_345x410.jpg	D:/demo/startours.co.uk/Content/Images/Slides/dreamstime_xl_35189989_345x410.jpg	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:28	125964/125964	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202024%2020:12:24%20GMT	https://startours.co.uk/tour/07-Days-European-Highlights	D:/demo/startours.co.uk/tour/07-Days-European-Highlights.html	(from https://startours.co.uk/holidays/Coach-Holidays)
